YEAR,POP
1970,84927
1971,87200
1972,89100
1973,92100
1974,93800
1975,96500
1976,99800
1977,103900
1978,107700
1979,112100
1980,114792
1981,119132
1982,121088
1983,122627
1984,125606
1985,128502
1986,132124
1987,138113
1988,142328
1989,146517
1990,151345
1991,155365
1992,160140
1993,166136
1994,171801
1995,175923
1996,179284
1997,183285
1998,187144
1999,191606
2000,196536
2001,201934
2002,208444
2003,212655
2004,216115
2005,219062
2006,221619
2007,224567
2008,226085
2009,227390
2010,234239
2011,237326
2012,239705
2013,241215
2014,243487
2015,245145
2016,247269
2017,251037
2018,255698
2019,260609
2020,272767
2021,280520
2022,287899
2023,293742
2024,298855
2025,302883
