YEAR,POP
1970,522809
1971,534400
1972,552200
1973,559100
1974,564000
1975,577000
1976,579500
1977,580800
1978,584300
1979,581800
1980,579053
1981,592873
1982,600479
1983,614213
1984,632915
1985,652945
1986,675784
1987,703273
1988,731351
1989,749638
1990,765476
1991,775490
1992,786437
1993,797654
1994,805835
1995,815022
1996,824793
1997,835432
1998,847596
1999,862350
2000,877830
2001,893658
2002,906488
2003,915237
2004,921069
2005,928903
2006,935013
2007,941491
2008,953478
2009,970647
2010,975619
2011,991325
2012,1005310
2013,1015534
2014,1025063
2015,1033370
2016,1039327
2017,1047239
2018,1048794
2019,1051129
2020,1060926
2021,1055869
2022,1058546
2023,1064369
2024,1073045
2025,1074582
