YEAR,POP
1970,620409
1971,635100
1972,641500
1973,636800
1974,638200
1975,646500
1976,651300
1977,651200
1978,650900
1979,650700
1980,655615
1981,655599
1982,658403
1983,661267
1984,664696
1985,664649
1986,669544
1987,675514
1988,682941
1989,686188
1990,694782
1991,702993
1992,709826
1993,715513
1994,721250
1995,727937
1996,734981
1997,741043
1998,745458
1999,749425
2000,755582
2001,761782
2002,767775
2003,773930
2004,778827
2005,781795
2006,784729
2007,785930
2008,787144
2009,788850
2010,806654
2011,813021
2012,818218
2013,822426
2014,825201
2015,827796
2016,828941
2017,828956
2018,828547
2019,828503
2020,853350
2021,850038
2022,847672
2023,846378
2024,848438
2025,847650
