YEAR,POP
1970,21476
1971,22300
1972,23100
1973,23400
1974,23400
1975,24000
1976,24700
1977,25500
1978,25900
1979,26200
1980,26490
1981,26766
1982,26937
1983,26934
1984,26937
1985,26831
1986,26807
1987,26996
1988,27356
1989,27847
1990,28236
1991,28747
1992,29103
1993,29329
1994,29558
1995,29659
1996,29656
1997,29773
1998,29674
1999,29834
2000,29835
2001,29726
2002,29831
2003,29944
2004,29829
2005,29675
2006,29657
2007,29658
2008,29678
2009,29566
2010,30144
2011,30158
2012,29976
2013,29981
2014,29669
2015,29451
2016,29395
2017,29276
2018,29202
2019,29049
2020,28798
2021,28739
2022,28558
2023,28485
2024,28417
2025,28370
