YEAR,POP
1970,62394
1971,69100
1972,76600
1973,84700
1974,88800
1975,96700
1976,102600
1977,108200
1978,112900
1979,116200
1980,118572
1981,124746
1982,127942
1983,132011
1984,137511
1985,143815
1986,152265
1987,160880
1988,170720
1989,179648
1990,189367
1991,194653
1992,199491
1993,206831
1994,212975
1995,218561
1996,223681
1997,228386
1998,235038
1999,243007
2000,249638
2001,255104
2002,259254
2003,262672
2004,265063
2005,267390
2006,270249
2007,273543
2008,276583
2009,281028
2010,288618
2011,293596
2012,299223
2013,303590
2014,306989
2015,311417
2016,315581
2017,319409
2018,322895
2019,325951
2020,332809
2021,335267
2022,335900
2023,336321
2024,337795
2025,339183
