YEAR,POP
1970,661719
1971,687800
1972,697900
1973,693000
1974,689500
1975,683000
1976,680300
1977,674900
1978,671200
1979,665600
1980,665071
1981,670209
1982,671811
1983,674430
1984,67939
1985,683487
1986,688863
1987,694845
1988,708095
1989,719550
1990,725896
1991,737878
1992,743900
1993,748093
1994,757553
1995,765681
1996,774007
1997,780666
1998,789037
1999,795048
2000,802745
2001,814548
2002,823554
2003,829606
2004,834877
2005,839000
2006,835066
2007,830801
2008,828734
2009,832213
2010,866442
2011,874594
2012,882787
2013,891020
2014,900372
2015,906754
2016,909262
2017,910946
2018,911372
2019,911562
2020,965578
2021,956631
2022,952326
2023,954813
2024,964596
2025,970374
