YEAR,POP
1970,103829
1971,105100
1972,106100
1973,107300
1974,108600
1975,110100
1976,110800
1977,111200
1978,112700
1979,113600
1980,113086
1981,112452
1982,112244
1983,113159
1984,114500
1985,115603
1986,116607
1987,117926
1988,118237
1989,119792
1990,121951
1991,124097
1992,126061
1993,126829
1994,127651
1995,128729
1996,129382
1997,129890
1998,130476
1999,131178
2000,132075
2001,132993
2002,134585
2003,136452
2004,138792
2005,141237
2006,143258
2007,145040
2008,145458
2009,145640
2010,147727
2011,148807
2012,149090
2013,149055
2014,149128
2015,149160
2016,149715
2017,150247
2018,150699
2019,151066
2020,154699
2021,154425
2022,154503
2023,155437
2024,157140
2025,157731
