YEAR,POP
1970,54236
1971,56300
1972,56900
1973,58200
1974,59700
1975,60600
1976,61500
1977,62800
1978,63500
1979,64200
1980,64540
1981,64938
1982,65414
1983,65888
1984,66936
1985,68358
1986,69706
1987,70700
1988,71952
1989,73321
1990,74743
1991,76414
1992,77549
1993,79037
1994,80121
1995,81245
1996,81813
1997,82334
1998,83103
1999,83714
2000,84865
2001,85320
2002,86035
2003,87427
2004,88739
2005,90568
2006,92307
2007,93390
2008,93898
2009,94370
2010,98974
2011,100086
2012,100593
2013,100890
2014,101416
2015,101820
2016,102246
2017,102471
2018,103398
2019,104005
2020,103577
2021,104073
2022,105131
2023,106024
2024,106639
2025,106899
